# . . # # # . # . . . # . . # . . . . # # . # . . . # . . . . # . . . . # . . # . # . # # . . . # # . # # . # 
# . # . . # . # # . # # # # # # # . # . # . # # # # . # # . # # # . . . # # . # . . # . # # # . . . # . # . . 
# . . # . # . # # . # . . . . # # . . . # . . # . # # # # . # # # # . . . # . . # . . # . . # . # . . . # # . 
# # . . # # . # # . # . . # . . . # # # . # . . . . . # . . . . . # # . # # # # # # . . . . # . . # # # # # # 
# . . # # . # # . . # . # # # . # . # # # # . # . # # . # # # . # . . . . . # . . . . # . # . # # # # # # . . 
# # . . # # # # # # # . . # . . # . . . . . # # . . . . . # . . # # # # # # . # # . . # . . # . . . . . # . # 
. # # # . . # . . . . . . # . . # # # . # . # . # # # . . # . . . . . # . # # . # # # . # . . # # # # # # . # 
# . . # # . # . . # # # # # # # # . # # # . # # # . # # . # # . . # . # . . # # # . # . . # . # # . . # # . # 
. # . . . # # # # . . . . # . . . . . . . # . . . # . # . # # # # # . # . # . . . # # # . . . . . # . . # # # 
. . . # . . . . # . . # . # . # # . . # . # # # . . # # . # # . . . # # . # # # . # # # # . # # . . . . . . # 
# # # # # # # # # # # # . # . # # # # # . . . . # . # . . . . . # . # # . . . . . . # . # . # . # # . # # . . 
# . . # # . . # . . . . # # . . # . . . . # # . # . # . . # # . # . . . . # # . # . # # . . # . # # . # . # . 
# . . . . # . # # . # . # . # . # . # # # . # . . # # # # # # . # . # # # . # . # # . # . . # . . . . # # # . 
# # . # . . # . # . # . # # . . # # . . # # . # . . . . . # . . # # # . # # . . . # . # # # . # # . . . . . # 
. # # . # . . . # . # # . # . . . # . # . # # # # # # . . # . # . . # # . # . # . # . # . # # # # # . . # . # 
# . # . . # # # . . . # . # # . # # . # # . . # # . # . . # . . . . . # . # . . # # . . . . . # # # # . . . . 
. # # # . # . # . # . # # # # . # # . . # . . . . . # # . . # # . . . # . . # . # # # # . . . . # # # # # . . 
. # # # . . # # . . # . . . # . . . . . # . . # # # # # # . . # # . # # # # . . . # # # # # # . . # # . # # . 
. . # . # . # . # . . # # . # . # # . # # # # # . . # . # # . # # . # # . # . . . . # . . . # . . . . . . # # 
# . # # . . # . . # . # . . # # . # . # # . . # . . # # # # . # # . . . # # # # # . # . . . # . # # # . # . . 
. # . # . # # # . . . # . . . # # . . . . . . # # # . . # # . . . . # . # # . . # # # # . . # . . # # . . # # 
. # . # . # # # # . # # # . # . # # # # # . # . . . # . . . . # # . # . . . . . . . # # # # . # . . # # . # # 
. # . . . . # # # . . # # . . . . . . # # . . # # . . . # # # . # . # . # # . . # . # # . # # # # . . . . . # 
# # # . # . . # . # . . . # # . . # . # # # . # . # # . # . # # . . # # . # # # . . . # . . . # . # # # # . . 
# . # . # . . # # . # # . # # # # # . . # . . # # . # . # # . # . . . # . # . # . . . # # . . # # . . . . . # 
# # . . # # . . # # # # . # # . . . . . # # . . # # . . . # # # # . # # . # . # # . # . # . # . # . . # # . # 
. # . . . # # # . . # . . . . . # # . . . # # # . # . . . . . # # . # # . # . # # . . # # . . # # # # . # . . 
# # # . # . . . # . # . . # # . # # # . # . . . . # # . . # . . . . . . # # . . # # . # . # . . . . # # . # . 
. # # . . # # . . # # # # # # . . # # . . # # # . # # # # # # # # . # . # # # . # . . # # . # # # # . # # # # 
. # # # . # . # . . . . . # . # . . . # . # # # . . . . . # # . # # # . . # . . # # . . # # # . . . # . . # # 
. . # . . # # # # # # . . # # . # # . . . . # # # # # . . . . . . . . . . # . . . # # # . . . . # . # . . . # 
